OBJECTID,Shape,ID_UNE,NOMBRE_SITIO,COD_COMUNA,COMUNA,BARRIO,DIRECCION,X_MAGNAMED,Y_MAGNAMED,LATITUD,LONGITUD
52,"(837095.2489000001, 1187201.2335)",WIFIMDE0029,Parque de Guadalupe,01,01,1,CL 95 A - CR 40,837095.2489,1187201.2335,6.28692627,-75.54937744
53,"(836838.6212000002, 1184102.3684999999)",WIFIMDE0103,Parque Principal Villa Hermosa,08,08,1,CR 39 A - CL 66,836838.6212,1184102.3685,6.25891113,-75.55169678
54,"(836804.8771000002, 1182684.5894)",WIFIMDE0315,Cancha Polideportiva Sucre,08,08,1,CR 32 - CL 56,836804.8771,1182684.5894,6.24609375,-75.55200195
55,"(836737.2279, 1186532.8429)",WIFIMDE0235,Cancha Sintética Las Esmeraldas,03,03,1,CL 88 B - CR 45,836737.2279,1186532.8429,6.28088379,-75.5526123
56,"(836716.902, 1189098.3458)",WIFIMDE0096,Centro de Salud Pablo VI,02,02,1,CL 120 #  50 - 11,836716.902,1189098.3458,6.30407715,-75.55279541
57,"(836683.2310000001, 1184433.1798)",WIFIMDE0075,UPSS Manrique,03,03,1,CL 66 E # 42 - 51  ,836683.231,1184433.1798,6.26190186,-75.55310059
58,"(836662.8767000001, 1188369.2016)",WIFIMDE0233,Coliseo Andalucía,02,02,1,CR 49 - CL 107,836662.8767,1188369.2016,6.29748535,-75.55328369
59,"(836629.1833, 1184520.9457)",WIFIMDE0088,CEDEZO Manrique,03,03,1,CR 43 #  66 E - 41 ,836629.1833,1184520.9457,6.26269531,-75.55358887
60,"(836615.5949, 1188126.1529)",WIFIMDE0007,Casa de Justicia Villa del Socorro,02,02,1,CL 104 B # 48 - 60,836615.5949,1188126.1529,6.29528809,-75.55371094
61,"(836615.5949, 1188126.1529)",WIFIMDE0234,CEDEZO Santa Cruz,02,02,1,CL 104 B # 48 - 60,836615.5949,1188126.1529,6.29528809,-75.55371094
62,"(836615.5954, 1188105.8989)",WIFIMDE0232,Cancha Sintética Villa del Socorro,02,02,1,CL 104 B # 48 - 38,836615.5954,1188105.8989,6.29510498,-75.55371094
63,"(836595.4536000001, 1182178.2352999998)",WIFIMDE0294,Estación tranvia Buenos Aires (interior plataforma abordaje),09,09,1,CL 49 - CR 31,836595.4536,1182178.2353,6.24151611,-75.55389404
64,"(836561.6521000001, 1183238.1927)",WIFIMDE0090,CEDEZO La Ladera,08,08,1,CL 59 A #  36 - 30,836561.6521,1183238.1927,6.25109863,-75.55419922
65,"(836541.2634000002, 1189280.6278)",WIFIMDE0269,Cancha de Futbol La Frontera,02,02,1,CR 51 A - CL 121,836541.2634,1189280.6278,6.3057251,-75.55438232
66,"(836507.6381000002, 1181536.8577)",WIFIMDE0038,Parque La Milagrosa,09,09,1,CR 29 - CL 42,836507.6381,1181536.8577,6.23571777,-75.5546875
67,"(836494.0297, 1186559.8431000002)",WIFIMDE0009,Casa de la Cultura Manrique,04,04,1,CR 45 # 72 – 62,836494.0297,1186559.8431,6.28112793,-75.55480957
68,"(836473.7912, 1185074.5512)",WIFIMDE0224,Estación Metroplus Gardel (exterior),03,03,1,CRA 45 - CL 72,836473.7912,1185074.5512,6.26770019,-75.55499268
69,"(836473.7168, 1189010.5736)",WIFIMDE0186,Parque Pablo VI,02,02,1,CL 112 - CR 51 A,836473.7168,1189010.5736,6.30328369,-75.55499268
70,"(836453.4808000003, 1187417.2604999999)",WIFIMDE0231,Cancha de Fútbol en Grama Sintética San Nicolás,01,01,1,CR 48 - CL 97,836453.4808,1187417.2605,6.28887939,-75.55517578
71,"(836352.2198000001, 1183258.4427)",WIFIMDE0291,Parque Obrero,10,10,1,CL 58 A - CR 39 A,836352.2198,1183258.4427,6.25128174,-75.55609131
72,"(836338.6459, 1187018.9304)",WIFIMDE0024,Parque Aranjuez,04,04,1,CL 93 - CR 49,836338.6459,1187018.9304,6.28527832,-75.55621338
73,"(836217.1097, 1182752.0913)",WIFIMDE0026,Parque Bicentenario,10,10,1,CL 51 - CR 38,836217.1097,1182752.0913,6.2467041,-75.55731201
74,"(836217.1072000001, 1182927.6257000002)",WIFIMDE0064,Parque de Boston,10,10,1,CL 54 - CR 38,836217.1072,1182927.6257,6.24829102,-75.55731201
