OBJECTID,Shape,ID_UNE,NOMBRE_SITIO,COD_COMUNA,COMUNA,BARRIO,DIRECCION,X_MAGNAMED,Y_MAGNAMED,LATITUD,LONGITUD
300,"(829211.3173, 1183744.8554)",WIFIMDE0052,Unidad Deportiva Antonio Nariño,13,13,1,CR 105 - CL 42,829211.3173,1183744.8554,6.25567627,-75.62060547
301,"(829103.1363000005, 1182927.9566000002)",WIFIMDE0199,Escaleras Eléctricas (Viaducto),13,13,1,CR 110 - CL 34 CC (El corazón),829103.1363,1182927.9566,6.24829102,-75.62158203
302,"(829069.3590000004, 1182948.2142)",WIFIMDE0200,"Escaleras Eléctricas (Tramos 1,2 Y 3)",13,13,1,CR 110 - CL 35F,829069.359,1182948.2142,6.24847412,-75.62188721
303,"(829055.8427, 1182907.7077000001)",WIFIMDE0201,"Escaleras Eléctricas (Tramos 4, 5 Y 6)",13,13,1,CR 110 - CL 35F,829055.8427,1182907.7077,6.24810791,-75.62200928
304,"(829035.2670000001, 1180072.1535999998)",WIFIMDE0183,La Esperanza,70,70,2,CR 100 - CL 16,829035.267,1180072.1536,6.22247314,-75.62219238
305,"(829001.7999, 1182948.2215)",WIFIMDE0250,Viaducto Tramo Dos,13,13,1,CR 111 # 34 DD - 01,829001.7999,1182948.2215,6.24847412,-75.62249756
306,"(828981.5863, 1183441.0705)",WIFIMDE0070,Casa de Justicia 20 de Julio,13,13,1,CL 39 C # 109 - 24,828981.5863,1183441.0705,6.25292969,-75.62268066
307,"(828947.7460000004, 1182887.4655)",WIFIMDE0274,Viaducto tramo 2 parte alta,13,13,1,CR 111 - CL 34 D,828947.746,1182887.4655,6.2479248,-75.62298584
308,"(828589.5019, 1181334.7014000001)",WIFIMDE0185,Placa de Arenilla Aguas Frías,70,70,2,CL 31 AA # 107 - 38,828589.5019,1181334.7014,6.23388672,-75.6262207
309,"(828427.2136000001, 1180139.736)",ACP-1944582,Parque Principal de Altavista,70,70,2,CL 18 # 105 - 69,828427.2136,1180139.736,6.2230835,-75.62768555
310,"(828359.6464, 1180099.2360999999)",WIFIMDE0002,Casa de Gobierno Altavista,70,70,2,CL 18 # 105 - 69,828359.6464,1180099.2361,6.22271729,-75.6282959
311,"(828278.9476, 1183191.3525999999)",WIFIMDE0092,Centro de Salud La Esperanza,13,13,1,CR 118 # 39 A - 13 ,828278.9476,1183191.3526,6.25067139,-75.62902832
312,"(828049.5440000003, 1185540.8418999999)",WIFIMDE0169,Centro de Salud La Loma,60,60,2,CL 55 A # 125 A - 05,828049.544,1185540.8419,6.27191162,-75.63110352
313,"(827664.5652000004, 1186222.7752)",WIFIMDE0098,CEDEZO San Cristóbal,60,60,2,CL 62 #  129 - 9,827664.5652,1186222.7752,6.27807617,-75.63458252
314,"(827630.829, 1186533.3406)",WIFIMDE0279,Unidad Deportiva San Cristóbal,60,60,2,CR 130 B - CL 64,827630.829,1186533.3406,6.28088379,-75.6348877
315,"(827509.1826000003, 1186182.288)",WIFIMDE0304,Parque Principal San Cristóbal,60,60,2,CR 131 -  CL 62,827509.1826,1186182.288,6.27770996,-75.63598633
316,"(827495.6688, 1186162.0358)",WIFIMDE0004,Casa de Gobierno San Cristóbal,60,60,2,CR 131 #  60 – 59 (Parque principal),827495.6688,1186162.0358,6.27752686,-75.6361084
317,"(827339.8807000002, 1183191.4742)",WIFIMDE0184,Placa PoliDeportiva Los Tanques,70,70,2,CL 34 B # 130 MB-148,827339.8807,1183191.4742,6.25067139,-75.63751221
318,"(827299.7668, 1186222.8245)",WIFIMDE0125,UPSS San Cristóbal,60,60,2,CL 62 D # 133 - 15,827299.7668,1186222.8245,6.27807617,-75.63787842
319,"(826744.1351, 1174853.6731000002)",WIFIMDE0280,Zona Verde El Limonar No. 2,80,80,2,CR 64 B # 4 D - 27,826744.1351,1174853.6731,6.17529297,-75.6428833
320,"(826596.4283, 1181159.4324)",WIFIMDE0255,Cancha Aguas Frías Parte Alta,70,70,2,CL 34 AA - Belén Aguas Frias,826596.4283,1181159.4324,6.2322998,-75.64422607
321,"(826521.126, 1174630.9128)",WIFIMDE0145,Corregiduría El Limonar,80,80,2,CL 56 A Sur  # 63 B - 04,826521.126,1174630.9128,6.17327881,-75.64489746
322,"(825534.8494, 1175981.3355)",WIFIMDE0251,Cancha Sintética Horizontes,80,80,2,CL 40 Sur # 75 B - 81,825534.8494,1175981.3355,6.18548584,-75.65380859
323,"(825534.6869, 1175009.1448)",WIFIMDE0138,Cedezo San Antonio de Prado,80,80,2,CL 50 E SUR # 75 A - 20,825534.6869,1175009.1448,6.17669678,-75.65380859
324,"(825359.1221, 1175670.8045)",ACP-2133720,Parque principal San Antonio de Prado,80,80,2,CR 9 - CL 10 ,825359.1221,1175670.8045,6.18267822,-75.65539551
325,"(825291.5547, 1175670.816)",WIFIMDE0003,Casa de Gobierno San Antonio de Prado,80,80,2,CR 9 # 10 - 36,825291.5547,1175670.816,6.18267822,-75.65600586
326,"(824109.1372000001, 1175738.5452999999)",WIFIMDE0281,Placa polideportiva potrerito,80,80,2,Vereda Poterito,824109.1372,1175738.5453,6.18328857,-75.66668701
327,"(823987.8036000005, 1177223.8602999998)",WIFIMDE0282,Placa Polideportiva Montañita,80,80,2,Vereda Montañita,823987.8036,1177223.8603,6.19671631,-75.66778564
328,"(821376.9497000003, 1193549.1305)",WIFIMDE0005,Casa de Gobierno San Sebastián de Palmitas,50,50,2,CL 20 #  35 – 114 (Vía Palmitas KM 2),821376.9497,1193549.1305,6.34429932,-75.69140625
329,"(821343.1763, 1193549.1386000002)",ACP-2116276,Parque San Sebastián de Palmitas,50,50,2,"Vía Palmitas, Rural Palmitas",821343.1763,1193549.1386,6.34429932,-75.69171143
330,"(819985.4285, 1193326.6867)",WIFIMDE0277,Placa Polideportiva Vereda La Aldea,50,50,2,CR 219 # 134 -26 (Vereda la Aldea Parte Baja),819985.4285,1193326.6867,6.34228516,-75.70397949
331,"(819924.0066, 1190983.9933000002)",WIFIMDE0059,Centralidad Vereda La Suiza,50,50,2,Rural Vereda la Suiza,819924.0066,1190983.9933,6.32110596,-75.70452881
332,"(842762.0118000001, 1178659.6121)",ACP-2126086,Parque Santa Elena,90,90,2,CL 10 A- CR 40 E,842762.0118,1178659.6121,6.209702,-75.498188
